year,population,type
1950,37297.64,estimate
1951,37815.54,estimate
1952,38360.078,estimate
1953,38915.814,estimate
1954,39471.403,estimate
1955,40019.483,estimate
1956,40557.034,estimate
1957,41085.019,estimate
1958,41607.893,estimate
1959,42132.44,estimate
1960,42664.646,estimate
1961,43206.353,estimate
1962,43752.227,estimate
1963,44288.607,estimate
1964,44796.959,estimate
1965,45264.552,estimate
1966,45684.983,estimate
1967,46063.219,estimate
1968,46411.816,estimate
1969,46749.289,estimate
1970,47088.862,estimate
1971,47435.008,estimate
1972,47783.006,estimate
1973,48125.829,estimate
1974,48452.623,estimate
1975,48755.662,estimate
1976,49032.729,estimate
1977,49287.118,estimate
1978,49523.304,estimate
1979,49747.998,estimate
1980,49965.872,estimate
1981,50176.399,estimate
1982,50377.069,estimate
1983,50568.025,estimate
1984,50749.176,estimate
1985,50919.275,estimate
1986,51077.457,estimate
1987,51219.911,estimate
1988,51338.392,estimate
1989,51422.338,estimate
1990,51463.101,estimate
1991,51461.273,estimate
1992,51415.957,estimate
1993,51316.013,estimate
1994,51147.771,estimate
1995,50903.783,estimate
1996,50580.467,estimate
1997,50187.28,estimate
1998,49746.523,estimate
1999,49288.739,estimate
2000,48838.058,estimate
2001,48401.648,estimate
2002,47980.033,estimate
2003,47582.463,estimate
2004,47217.489,estimate
2005,46890.775,estimate
2006,46607.397,estimate
2007,46366.347,estimate
2008,46158.709,estimate
2009,45970.942,estimate
2010,45792.086,estimate
2011,45619.85,estimate
2012,45453.805,estimate
2013,45286.988,estimate
2014,45111.53,estimate
2015,44921.636,estimate
2016,44713.708,estimate
2017,44487.708,estimate
2018,44246.158,estimate
2019,43993.643,estimate
2020,43733.759,estimate
2020,43733.759,medium variant
2021,43466.822,medium variant
2022,43192.12,medium variant
2023,42911.306,medium variant
2024,42626.269,medium variant
2025,42338.589,medium variant
2026,42049.216,medium variant
2027,41758.643,medium variant
2028,41467.225,medium variant
2029,41175.058,medium variant
2030,40882.333,medium variant
2031,40589.437,medium variant
2032,40296.88,medium variant
2033,40005.067,medium variant
2034,39714.398,medium variant
2035,39425.165,medium variant
2036,39137.598,medium variant
2037,38851.724,medium variant
2038,38567.427,medium variant
2039,38284.416,medium variant
2040,38002.49,medium variant
2041,37721.611,medium variant
2042,37441.747,medium variant
2043,37162.735,medium variant
2044,36884.349,medium variant
2045,36606.383,medium variant
2046,36328.74,medium variant
2047,36051.336,medium variant
2048,35774.011,medium variant
2049,35496.632,medium variant
2050,35219.046,medium variant
2051,34941.24,medium variant
2052,34663.197,medium variant
2053,34384.751,medium variant
2054,34105.732,medium variant
2055,33826.061,medium variant
2056,33545.778,medium variant
2057,33265.074,medium variant
2058,32984.191,medium variant
2059,32703.478,medium variant
2060,32423.255,medium variant
2061,32143.782,medium variant
2062,31865.329,medium variant
2063,31588.344,medium variant
2064,31313.304,medium variant
2065,31040.686,medium variant
2066,30770.828,medium variant
2067,30504.096,medium variant
2068,30240.979,medium variant
2069,29982.052,medium variant
2070,29727.777,medium variant
2071,29478.455,medium variant
2072,29234.37,medium variant
2073,28995.894,medium variant
2074,28763.392,medium variant
2075,28537.156,medium variant
2076,28317.332,medium variant
2077,28103.953,medium variant
2078,27897.082,medium variant
2079,27696.728,medium variant
2080,27502.824,medium variant
2081,27315.268,medium variant
2082,27133.861,medium variant
2083,26958.197,medium variant
2084,26787.772,medium variant
2085,26622.098,medium variant
2086,26460.883,medium variant
2087,26303.784,medium variant
2088,26150.178,medium variant
2089,25999.366,medium variant
2090,25850.733,medium variant
2091,25703.826,medium variant
2092,25558.329,medium variant
2093,25413.992,medium variant
2094,25270.622,medium variant
2095,25127.984,medium variant
2096,24985.775,medium variant
2097,24843.662,medium variant
2098,24701.22,medium variant
2099,24557.994,medium variant
2100,24413.452,medium variant
2020,43733.759,high variant
2021,43510.982,high variant
2022,43292.86,high variant
2023,43078.591,high variant
2024,42867.59,high variant
2025,42659.52,high variant
2026,42454.279,high variant
2027,42252.034,high variant
2028,42053.13,high variant
2029,41858.049,high variant
2030,41667.188,high variant
2031,41480.667,high variant
2032,41298.118,high variant
2033,41118.601,high variant
2034,40940.865,high variant
2035,40763.98,high variant
2036,40587.641,high variant
2037,40412.036,high variant
2038,40237.542,high variant
2039,40064.686,high variant
2040,39893.925,high variant
2041,39725.356,high variant
2042,39558.893,high variant
2043,39394.7,high variant
2044,39232.946,high variant
2045,39073.785,high variant
2046,38917.317,high variant
2047,38763.66,high variant
2048,38612.927,high variant
2049,38465.247,high variant
2050,38320.726,high variant
2051,38179.494,high variant
2052,38041.629,high variant
2053,37907.094,high variant
2054,37775.811,high variant
2055,37647.762,high variant
2056,37523.022,high variant
2057,37401.732,high variant
2058,37284.041,high variant
2059,37170.198,high variant
2060,37060.356,high variant
2061,36954.714,high variant
2062,36853.399,high variant
2063,36756.507,high variant
2064,36664.105,high variant
2065,36576.312,high variant
2066,36493.326,high variant
2067,36415.372,high variant
2068,36342.79,high variant
2069,36275.917,high variant
2070,36215.116,high variant
2071,36160.568,high variant
2072,36112.487,high variant
2073,36071.32,high variant
2074,36037.48,high variant
2075,36011.351,high variant
2076,35993.059,high variant
2077,35982.66,high variant
2078,35980.359,high variant
2079,35986.339,high variant
2080,36000.687,high variant
2081,36023.347,high variant
2082,36054.128,high variant
2083,36092.706,high variant
2084,36138.643,high variant
2085,36191.506,high variant
2086,36251.001,high variant
2087,36316.761,high variant
2088,36388.148,high variant
2089,36464.468,high variant
2090,36545.037,high variant
2091,36629.342,high variant
2092,36716.933,high variant
2093,36807.456,high variant
2094,36900.529,high variant
2095,36995.732,high variant
2096,37092.588,high variant
2097,37190.558,high variant
2098,37288.994,high variant
2099,37387.213,high variant
2100,37484.422,high variant
2020,43733.759,low variant
2021,43416.407,low variant
2022,43083.771,low variant
2023,42738.389,low variant
2024,42382.422,low variant
2025,42017.661,low variant
2026,41645.446,low variant
2027,41266.779,low variant
2028,40882.304,low variant
2029,40492.407,low variant
2030,40097.479,low variant
2031,39698.166,low variant
2032,39295.592,low variant
2033,38891.5,low variant
2034,38487.917,low variant
2035,38086.355,low variant
2036,37687.673,low variant
2037,37291.812,low variant
2038,36898.283,low variant
2039,36506.108,low variant
2040,36114.527,low variant
2041,35723.487,low variant
2042,35333.164,low variant
2043,34943.284,low variant
2044,34553.496,low variant
2045,34163.522,low variant
2046,33773.167,low variant
2047,33382.263,low variant
2048,32990.592,low variant
2049,32597.89,low variant
2050,32203.978,low variant
2051,31808.765,low variant
2052,31412.18,low variant
2053,31013.983,low variant
2054,30613.917,low variant
2055,30211.843,low variant
2056,29807.811,low variant
2057,29401.982,low variant
2058,28994.603,low variant
2059,28585.959,low variant
2060,28176.402,low variant
2061,27766.202,low variant
2062,27355.716,low variant
2063,26945.52,low variant
2064,26536.297,low variant
2065,26128.688,low variant
2066,25723.141,low variant
2067,25320.076,low variant
2068,24920.132,low variant
2069,24524.034,low variant
2070,24132.394,low variant
2071,23745.606,low variant
2072,23364.022,low variant
2073,22988.125,low variant
2074,22618.387,low variant
2075,22255.183,low variant
2076,21898.712,low variant
2077,21549.09,low variant
2078,21206.401,low variant
2079,20870.681,low variant
2080,20541.871,low variant
2081,20219.939,low variant
2082,19904.689,low variant
2083,19595.76,low variant
2084,19292.657,low variant
2085,18994.908,low variant
2086,18702.258,low variant
2087,18414.391,low variant
2088,18130.689,low variant
2089,17850.409,low variant
2090,17572.918,low variant
2091,17297.806,low variant
2092,17024.823,low variant
2093,16753.821,low variant
2094,16484.707,low variant
2095,16217.317,low variant
2096,15951.449,low variant
2097,15686.865,low variant
2098,15423.223,low variant
2099,15160.101,low variant
2100,14897.041,low variant
2020,43733.759,constant fertility
2021,43468.429,constant fertility
2022,43196.458,constant fertility
2023,42918.754,constant fertility
2024,42636.085,constant fertility
