region,year,rate
Crimea,1990,2.5
Vinnytsia,1990,-2.1
Volyn,1990,4
Dnipropetrovsk,1990,0.5
Donetsk,1990,-1.2
Zhytomyr,1990,-0.3
Zakarpattia,1990,7.5
Zaporizhia,1990,0.5
Ivano-Frankivsk,1990,5.1
Kyiv,1990,-0.7
Kirovohrad,1990,-1.9
Luhansk,1990,-0.6
Lviv,1990,3.6
Mykolaiv,1990,1.7
Odesa,1990,0.2
Poltava,1990,-2.5
Rivne,1990,5.2
Sumy,1990,-3.1
Ternopil,1990,1.4
Kharkiv,1990,-1.4
Kherson,1990,2.7
Khmelnytskyi,1990,-0.6
Cherkasy,1990,-2.1
Chernivtsi,1990,3.8
Chernihiv,1990,-4
Kyiv city,1990,3.4
Sevastopol,1990,3.2
Crimea,1991,0.9
Vinnytsia,1991,-3.2
Volyn,1991,2
Dnipropetrovsk,1991,-0.8
Donetsk,1991,-2.5
Zhytomyr,1991,-1
Zakarpattia,1991,6.4
Zaporizhia,1991,-0.7
Ivano-Frankivsk,1991,3.7
Kyiv,1991,-2.4
Kirovohrad,1991,-2.8
Luhansk,1991,-1.7
Lviv,1991,2.4
Mykolaiv,1991,0.2
Odesa,1991,-1.2
Poltava,1991,-3.4
Rivne,1991,3.9
Sumy,1991,-4
Ternopil,1991,0.4
Kharkiv,1991,-2.9
Kherson,1991,1.5
Khmelnytskyi,1991,-1.7
Cherkasy,1991,-3.3
Chernivtsi,1991,2.9
Chernihiv,1991,-5.7
Kyiv city,1991,1.8
Sevastopol,1991,1.7
Crimea,1992,-0.7
Vinnytsia,1992,-3.7
Volyn,1992,2.4
Dnipropetrovsk,1992,-2.7
Donetsk,1992,-4.3
Zhytomyr,1992,-1.7
Zakarpattia,1992,5.8
Zaporizhia,1992,-2.5
Ivano-Frankivsk,1992,3.1
Kyiv,1992,-3.4
Kirovohrad,1992,-3.8
Luhansk,1992,-4
Lviv,1992,2
Mykolaiv,1992,-0.8
Odesa,1992,-1.9
Poltava,1992,-4.9
Rivne,1992,3.5
Sumy,1992,-5.3
Ternopil,1992,-0.1
Kharkiv,1992,-4.1
Kherson,1992,0.5
Khmelnytskyi,1992,-2.2
Cherkasy,1992,-4.1
Chernivtsi,1992,2
