country,continent,year,gdpPerCap,lifeExp,pop
Qatar,Asia,2017,124609.304140088,79.98100000000001,2724724
Luxembourg,Europe,2017,107640.559218408,82.68536585365851,596336
Singapore,Asia,2017,96552.6026075455,82.89512195121951,5612253
Brunei,Asia,2017,79789.60508529481,75.585,424473
Ireland,Europe,2017,77596.3550528709,81.95609756097559,4807388
United Arab Emirates,Asia,2017,73355.8769793479,77.64699999999999,9487203
Kuwait,Asia,2017,72621.6260603286,75.311,4056097
Switzerland,Europe,2017,66299.62501109889,83.60243902439029,8451840
Norway,Europe,2017,62182.8421398992,82.509756097561,5276968
United States,Americas,2017,59927.929833953494,78.5390243902439,325147121
Iceland,Europe,2017,55322.0901345058,82.2048780487805,343400
Netherlands,Europe,2017,54503.0819277108,81.5609756097561,17131296
Denmark,Europe,2017,54356.4510191378,81.0048780487805,5764980
Austria,Europe,2017,53879.29785451679,81.6414634146342,8797566
Saudi Arabia,Asia,2017,53693.364236490095,74.874,33099147
Germany,Europe,2017,52574.2604824888,80.990243902439,82657002
Sweden,Europe,2017,51404.7853914838,82.3073170731707,10057698
Australia,Asia,2017,49653.7158885249,82.4975609756098,24601860
Belgium,Europe,2017,49411.8690997742,81.4390243902439,11375158
Bahrain,Asia,2017,47660.4799076737,77.032,1494074
Canada,Americas,2017,46723.3177643637,82.2489756097561,36540268
Finland,Europe,2017,46348.958976902,81.4292682926829,5508214
United Kingdom,Europe,2017,44896.26458431059,81.1560975609756,66058859
France,Europe,2017,44255.941640102305,82.5243902439025,66865144
Japan,Asia,2017,41958.9621557727,84.099756097561,126785797
Malta,Europe,2017,41548.7032203094,82.45365853658541,467999
Oman,Asia,2017,41068.336814276096,77.393,4665935
Italy,Europe,2017,40981.2816111757,83.24390243902441,60536709
New Zealand,Asia,2017,40438.5709468742,81.65853658536591,4793900
Spain,Europe,2017,39037.3783388467,83.32926829268291,46593236
Israel,Asia,2017,38867.7615971076,82.60243902439029,8713300
South Korea,Asia,2017,38824.1153902612,82.62682926829271,51466201
Czech Republic,Europe,2017,38019.5805142033,79.4756097560976,10594438
Cyprus,Europe,2017,36155.4807539388,80.672,1179680
Slovenia,Europe,2017,36153.3831240136,81.1756097560976,2066388
Estonia,Europe,2017,33447.8277198239,77.6414634146342,1317384
Lithuania,Europe,2017,33252.8418829826,74.67073170731709,2828403
Portugal,Europe,2017,32554.2976837599,81.12439024390241,10300300
Slovak Republic,Europe,2017,32371.2229547652,77.16585365853659,5439232
Bahamas,Americas,2017,31581.104389648797,73.554,381761
Trinidad and Tobago,Americas,2017,31428.7976775167,73.245,1384072
Malaysia,Asia,2017,30004.078626204,75.828,31105028
Poland,Europe,2017,29930.991776801602,77.85121951219509,37974826
Seychelles,Africa,2017,29062.2628539554,74.3,95843
Hungary,Europe,2017,28798.6425572425,76.0634146341464,9787966
Greece,Europe,2017,28579.7945258539,81.3878048780488,10754679
Latvia,Europe,2017,28362.1354256146,74.6804878048781,1942248
Turkey,Europe,2017,27878.6092367084,77.161,81101892
Romania,Europe,2017,26595.5868048015,75.30975609756099,19587491
Kazakhstan,Asia,2017,26490.84377438,72.95,18037776
Croatia,Europe,2017,26295.6003270488,77.8268292682927,4124531
Russia,Europe,2017,25766.9288144165,72.11902439024391,144496740
Antigua and Barbuda,Americas,2017,25145.5412294362,76.752,95426
Equatorial Guinea,Africa,2017,24532.9520019804,58.06100000000001,1262001
Panama,Americas,2017,24472.009849744503,78.149,4106771
Chile,Americas,2017,24248.8607595513,79.90899999999999,18470439
Uruguay,Americas,2017,22728.134750687597,77.632,3436646
Mauritius,Africa,2017,22355.190523948702,74.51463414634149,1264613
Iran,Asia,2017,21011.288308854,76.271,80673951
Bulgaria,Europe,2017,20948.1942754245,74.8121951219512,7075947
Argentina,Americas,2017,20843.1550677175,76.372,44044811
Mexico,Americas,2017,19432.2141906251,74.947,124777324
Montenegro,Europe,2017,19355.0198351076,76.667,622373
Libya,Africa,2017,19056.8042971544,72.52,6580724
Belarus,Europe,2017,18915.9398914361,74.12926829268291,9498264
Barbados,Americas,2017,18526.008560408,78.98100000000001,286233
Turkmenistan,Asia,2017,18032.2219588979,67.956,5757669
Thailand,Asia,2017,17917.2068895954,76.683,69209858
Botswana,Africa,2017,17784.855810529498,68.812,2205128
Gabon,Africa,2017,17762.408644601102,65.839,2064823
Azerbaijan,Europe,2017,17525.2796310656,72.693,9854033
Iraq,Asia,2017,17415.4693927853,70.294,37552781
Costa Rica,Americas,2017,16976.1874153378,79.914,4949954
China,Asia,2017,16782.2077583531,76.47,1386395000
Dominican Republic,Americas,2017,16451.5400448466,73.689,10513131
Serbia,Europe,2017,16433.4497517736,76.0878048780488,7020858
Brazil,Americas,2017,15662.247017596299,75.456,207833831
Algeria,Africa,2017,15266.4852082981,76.499,41389198
Suriname,Americas,2017,15002.419861673101,71.46300000000001,570496
Grenada,Americas,2017,14739.065754668702,72.388,110874
Maldives,Asia,2017,14668.6930327615,78.325,496402
Colombia,Americas,2017,14507.261250854599,76.925,48901066
Peru,Americas,2017,13772.2901725032,76.286,31444297
Bosnia and Herzegovina,Europe,2017,13735.0785041602,77.128,3351527
St. Lucia,Americas,2017,13569.3057084931,75.907,180955
Paraguay,Americas,2017,12971.6838450747,73.992,6867062
Albania,Europe,2017,12930.1372840019,78.333,2873457
Sri Lanka,Asia,2017,12878.5886712171,76.648,21444000
Lebanon,Asia,2017,12813.869552599399,78.833,6811873
Mongolia,Asia,2017,12787.284256081799,69.509,3113779
Indonesia,Asia,2017,12279.1832757753,71.282,264645886
Tunisia,Africa,2017,12047.051134045802,76.31,11433443
St. Vincent and the Grenadines,Americas,2017,11776.6715734858,72.3,109827
Egypt,Africa,2017,11742.0500882009,71.656,96442593
Ecuador,Americas,2017,11501.010292442199,76.584,16785361
Namibia,Africa,2017,11104.419376271899,63.021,2402603
Georgia,Europe,2017,10674.175802685699,73.414,3728004
Fiji,Asia,2017,10318.9586799074,67.252,877459
Bhutan,Asia,2017,10173.0510685791,71.12899999999999,745568
Armenia,Europe,2017,9620.818491000358,74.797,2944809
Jordan,Asia,2017,9129.93211751891,74.292,9779173
Jamaica,Americas,2017,8970.780291138659,74.267,2920853
Ukraine,Europe,2017,8693.69364884734,71.7809756097561,44831135
Belize,Americas,2017,8500.444799660809,74.365,375769
Philippines,Asia,2017,8340.33133072608,70.952,105173264
Morocco,Africa,2017,8261.06085184946,76.218,35581294
Guatemala,Americas,2017,8166.85775480185,73.81,16914936
Guyana,Americas,2017,8140.415340194771,69.624,775221
El Salvador,Americas,2017,7972.768589865041,72.872,6388122
Bolivia,Americas,2017,7480.0771405755795,70.945,11192854
Timor-Leste,Asia,2017,7416.22335499345,69.007,1243261
India,Asia,2017,7168.992550744,69.165,1338658835
Lao,Asia,2017,6939.555068714621,67.277,6953035
Moldova,Europe,2017,6858.89202760189,71.717,3549196
Vietnam,Asia,2017,6857.98404387187,75.241,94596642
Samoa,Asia,2017,6677.68551022861,73.046,195352
Angola,Africa,2017,6650.584939847779,60.379,29816748
Uzbekistan,Asia,2017,6644.5688858410995,71.388,32388600
Tonga,Asia,2017,6321.60693306938,70.70100000000001,101998
Myanmar,Asia,2017,6172.39264948407,66.558,53382581
Nigeria,Africa,2017,5887.5730776004,53.95,190873311
Nicaragua,Americas,2017,5687.18163082839,74.068,6384855
"Congo, Rep.",Africa,2017,5614.398973966209,63.95399999999999,5110702
Pakistan,Asia,2017,5249.2063652526,66.947,207896686
Honduras,Americas,2017,4916.72379248824,74.898,9429013
Sudan,Africa,2017,4880.2615167413205,64.881,40813396
Ghana,Africa,2017,4457.3558457773,63.463,29121471
Papua New Guinea,Asia,2017,4269.43124398009,64.01,8438029
Zambia,Africa,2017,4090.12004042731,63.043,16853688
Mauritania,Africa,2017,4066.6706384247295,64.464,4282574
Cambodia,Asia,2017,4019.6799851104497,69.289,16009414
Bangladesh,Asia,2017,3998.4194235514897,72.05199999999999,159670593
Cote d'Ivoire,Africa,2017,3921.7133363581897,57.016999999999996,24437469
Kyrgyz Republic,Asia,2017,3733.60613756865,71.2,6198200
Cameroon,Africa,2017,3644.80109612329,58.511,24566045
Senegal,Africa,2017,3556.1377583473604,67.38,15419381
"Micronesia, Fed. Sts.",Asia,2017,3504.3966506056604,67.618,111459
Sao Tome and Principe,Africa,2017,3312.72796857403,69.933,207089
Kenya,Africa,2017,3258.15449926677,65.90899999999999,50221473
Tajikistan,Asia,2017,3216.58070235526,70.64699999999999,8880268
Lesotho,Africa,2017,3131.0037302656397,52.946999999999996,2091412
Vanuatu,Asia,2017,3110.31028343763,70.172,285510
Tanzania,Africa,2017,3090.49437114677,64.479,54663906
Nepal,Asia,2017,2866.54201625742,70.169,27627124
Zimbabwe,Africa,2017,2825.72512228756,60.812,14236745
Comoros,Africa,2017,2751.08790965604,63.912,813892
Yemen,Asia,2017,2645.30838302614,66.086,27834821
Guinea,Africa,2017,2435.2184751916197,60.706,12067539
Solomon Islands,Asia,2017,2339.38066750728,72.645,636038
Benin,Africa,2017,2276.59572978031,61.174,11175204
Kiribati,Asia,2017,2227.92099492537,67.851,114158
Mali,Africa,2017,2221.7578857519397,58.452,18512394
Rwanda,Africa,2017,2082.2936354878,68.34100000000001,11980937
Uganda,Africa,2017,1945.3586041961398,62.516000000000005,41162465
Afghanistan,Asia,2017,1934.6367541203501,64.13,36296400
Chad,Africa,2017,1929.4727515883499,53.711999999999996,15016773
Ethiopia,Africa,2017,1897.24907750157,65.872,106400024
Burkina Faso,Africa,2017,1866.1706199357102,60.768,19193284
Haiti,Americas,2017,1818.60656533786,63.29,10982366
Guinea-Bissau,Africa,2017,1734.71490884792,57.673,1828146
Togo,Africa,2017,1682.7492021670498,60.489,7698475
Gambia,Africa,2017,1612.1395585064001,61.44,2213894
Madagascar,Africa,2017,1560.4023148833098,66.311,25570540
Sierra Leone,Africa,2017,1544.42928960789,53.895,7488431
Mozambique,Africa,2017,1294.74827318321,59.309,28649007
Liberia,Africa,2017,1293.41593414343,63.295,4702228
Malawi,Africa,2017,1269.64459550158,63.278999999999996,17670260
Niger,Africa,2017,1012.8591963130699,61.599,21602472
"Congo, Dem. Rep.",Africa,2017,888.6772799659719,60.026,81398764
Central African Republic,Africa,2017,829.346498086113,52.24,4596028
Burundi,Africa,2017,737.97858286726,60.898,10827024
